date,forecast,lower_90,upper_90,interval_width
2023-01-01,1618.0,1440.0,1797.0,356.0
2023-02-01,1601.0,1203.0,1999.0,796.0
2023-03-01,1623.0,1300.0,1945.0,645.0
2023-04-01,1619.0,1150.0,2088.0,938.0
2023-05-01,1569.0,1148.0,1990.0,841.0
2023-06-01,1635.0,1387.0,1884.0,497.0
2023-07-01,1646.0,1419.0,1873.0,454.0
2023-08-01,1632.0,1409.0,1855.0,446.0
2023-09-01,1611.0,1312.0,1911.0,598.0
2023-10-01,1581.0,1177.0,1985.0,809.0
2023-11-01,1623.0,1339.0,1906.0,568.0
2023-12-01,1547.0,1231.0,1863.0,632.0
2024-01-01,1642.0,1337.0,1947.0,610.0
2024-02-01,1619.0,1223.0,2014.0,791.0
2024-03-01,1638.0,1364.0,1911.0,547.0
2024-04-01,1576.0,1047.0,2106.0,1058.0
2024-05-01,1563.0,1084.0,2043.0,959.0
2024-06-01,1568.0,1260.0,1876.0,617.0
2024-07-01,1590.0,1367.0,1814.0,447.0
2024-08-01,1581.0,1255.0,1907.0,652.0
2024-09-01,1490.0,1252.0,1727.0,475.0
2024-10-01,1543.0,1244.0,1843.0,599.0
2024-11-01,1585.0,1254.0,1916.0,662.0
2024-12-01,1553.0,1245.0,1861.0,615.0
